red_alliance_total,blue_alliance_total,red_one_skill,red_two_skill,red_three_skill,blue_one_skill,blue_two_skill,blue_three_skill,red_baseline,blue_baseline,auto_red_lev_cubes,auto_red_boost_cubes,auto_red_force_cubes,auto_red_overflow_cubes,auto_blue_lev_cubes,auto_blue_boost_cubes,auto_blue_force_cubes,auto_blue_overflow_cubes,auto_red_own_switch_control,auto_red_opposite_switch_control,auto_blue_own_switch_control,auto_blue_opposite_switch_control,auto_red_scale_control,auto_blue_scale_control,auto_red_own_switch_cubes,auto_red_opposite_switch_cubes,auto_blue_own_switch_cubes,auto_red_opposite_switch_cubes,auto_red_scale_cubes,auto_blue_scale_cubes,red_alliance_auto_total,blue_alliance_auto_total,red_num_climbed,blue_num_climbed,red_num_parked,blue_num_parked,red_lev_cubes,blue_lev_cubes,red_boost_cubes,blue_boost_cubes,red_force_cubes,blue_force_cubes,red_overflow_cubes,blue_overflow_cubes,red_boost_time,red_force_time,red_boost_cubes_used,red_force_cubes_used,red_lev_time,red_lev_used,blue_boost_time,blue_force_time,blue_boost_cubes_used,blue_force_cubes_used,blue_lev_time,blue_lev_used,red_own_switch_control,red_opposite_switch_control,blue_own_switch_control,blue_opposite_switch_control,red_scale_control,blue_scale_control,red_own_switch_cubes,red_opposite_switch_cubes,blue_own_switch_cubes,red_opposite_switch_cubes,red_scale_cubes,blue_scale_cubes
321,211,4,9,8,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,83,12,90,43,0,142,53,10,35,10,8,36
221,259,1,9,4,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,2,2,1,0,3,0,3,0,3,0,10,0,0,0,0,0,0,False,0,0,0,0,0,False,0,0,149,144,0,116,15,6,16,6,27,34
240,174,10,6,1,5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,1,2,3,0,3,0,3,0,7,0,0,0,0,0,0,False,0,0,0,0,0,False,0,26,95,146,14,118,9,58,9,58,7,55
345,117,9,3,9,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,2,1,1,0,3,0,3,0,3,0,12,0,0,0,0,0,False,0,0,0,0,0,False,130,122,0,14,68,62,12,46,27,46,25,5
327,83,10,10,3,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,114,103,21,21,123,3,24,36,35,36,46,2
301,90,10,4,4,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,122,114,14,20,95,37,21,10,22,10,32,5
211,272,4,1,6,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,1,3,0,3,0,3,0,15,0,0,0,0,0,0,False,0,0,0,0,0,False,0,0,138,146,5,139,10,2,60,2,12,7
218,109,7,3,10,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,2,1,0,2,0,3,0,3,0,3,0,16,0,0,0,0,0,False,0,0,0,0,0,False,50,126,17,67,62,17,7,12,27,12,29,6
185,143,5,1,6,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,2,3,0,3,0,3,0,3,0,0,0,0,0,0,False,0,0,0,0,0,False,16,1,88,70,112,0,28,5,47,5,1,0
192,161,5,6,2,7,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,False,0,0,0,0,0,False,15,17,91,128,1,120,35,12,21,12,3,30
252,211,10,6,5,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,134,0,112,7,73,0,34,8,10,8,29,9
225,199,7,10,6,10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,28,110,130,79,34,9,57,12,57,33,29
207,263,4,9,6,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,19,0,148,122,30,85,24,7,13,7,33,10
376,80,9,8,7,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,0,3,0,3,0,3,0,13,0,0,0,0,0,False,0,0,0,0,0,False,113,123,0,1,143,0,52,33,3,33,11,3
209,229,3,5,7,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,6,126,141,85,44,23,28,23,28,12,7
319,67,6,1,8,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,2,3,0,3,0,3,0,13,0,0,0,0,0,0,False,0,0,0,0,0,False,112,88,12,0,67,21,5,30,21,30,6,22
149,117,4,7,6,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,94,25,123,18,105,4,22,27,22,42,36
191,226,9,3,3,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,False,0,0,0,0,0,False,4,0,120,144,132,0,15,13,27,13,27,22
187,285,1,3,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,8,0,145,123,0,146,24,6,50,6,20,36
298,55,8,2,10,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,False,0,0,0,0,0,False,126,115,0,0,140,0,39,35,33,35,10,1
188,180,2,4,4,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,16,8,99,120,84,43,27,4,28,4,7,49
183,230,3,6,2,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,17,130,137,0,135,10,24,15,24,3,32
203,104,5,3,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,95,36,79,28,20,63,4,9,26,9,21,4
165,262,1,3,5,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,0,148,144,0,130,1,1,42,1,19,42
178,193,4,4,1,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,13,118,112,0,133,1,14,7,14,1,67
184,232,6,4,7,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,1,1,2,0,3,0,3,0,3,0,4,0,0,0,0,0,False,0,0,0,0,0,False,0,15,122,131,11,103,21,26,11,26,16,13
252,122,4,8,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,2,3,3,3,3,3,3,14,17,0,0,0,0,0,False,0,0,0,0,0,False,37,25,67,67,115,0,16,4,31,4,32,0
219,82,9,2,5,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,1,2,2,0,3,0,3,0,3,0,4,0,0,0,0,0,False,0,0,0,0,0,False,20,144,0,46,21,104,23,35,3,35,16,3
198,224,4,5,1,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,50,0,139,55,0,123,23,12,56,12,2,24
256,163,9,2,4,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,3,0,3,0,3,0,5,0,0,0,0,0,False,0,0,0,0,0,False,64,20,80,50,121,16,25,3,4,3,20,27
258,123,4,4,9,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,35,70,54,104,0,141,27,31,8,31,6,37
218,159,9,3,9,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,26,66,52,110,90,35,73,11,17,11,8,44
263,219,4,5,4,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,92,0,144,10,2,114,39,1,6,1,2,41
365,92,9,3,6,1,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,2,2,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,False,0,0,0,0,0,False,134,147,0,0,67,57,30,23,5,23,15,51
307,167,2,2,9,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,110,59,77,5,0,131,37,28,22,28,4,53
363,234,10,8,6,2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,131,0,144,0,140,0,33,34,58,34,35,4
204,231,10,1,6,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,2,2,1,0,3,0,3,0,3,0,13,0,0,0,0,0,0,False,0,0,0,0,0,False,26,0,131,118,32,46,34,34,40,34,6,8
244,179,10,2,10,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,1,1,2,0,3,0,3,0,3,0,13,0,0,0,0,0,False,0,0,0,0,0,False,28,27,71,94,137,2,33,16,69,16,32,9
217,71,6,7,1,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3,2,3,0,3,0,3,0,11,0,0,0,0,0,0,False,0,0,0,0,0,False,48,127,16,17,4,90,7,36,48,36,13,12
362,55,7,9,9,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,130,134,0,16,133,0,14,56,27,56,29,1
